Nume autor,Număr cuvinte
CARACOSTEA D. Dumitru ,14531
CARAGIANI Ioan D .,2142
CARAION Ion,15061
CARANICA Nicu,6468
CARIANOPOL Virgil,5627
CARIANOPOL Virginia,1251
CARP O .,1386
CATANOY Nicholas,3325
CAZACU G. Şt .,989
CAZACU Mihai,1708
CĂLIMAN Valeria,2072
DANCIU Dimitrie,1118
DANCIU Ion Maxim,2785
ACSAN Ion,3246
BANDRABUR Ionel,3767
BARBU Ana,2936
DASCĂLU Crişu,4466
DAMIAN George,1713
DAMIAN Nicolae,3116
DAMIAN Theodor,3235
BACALOGLU Victor A .,2348
BAGHIU Vasile,3380
BAHNER Werner,2494
CANCEL Petre,2373
BABA Ioan,1286
BABA Mărioara,1921
CACOVEANU Ştefan,2520
CAMARIANO Nestor,8001
DĂIANU Elie ( Ilie ),1955
DEBOVEANU Aurel,2176
ADAM Dinu,1401
ADRIAN I. V. Ion Veniamin ,1741
CIOMPEC Gheorghe,1410
CIORĂNESCU Alexandru,9701
CIORNEI Vsevolod,967
CIOTORI Dimitrie N .,1517
CIPARIU Dan Mircea,2588
CIRIMPEI Victor,1420
CIŞMAN Virgiliu N .,1334
BAUMGARTEN Alexander,2154
BĂCIUŢ Nicolae,2209
BĂDESCU Ioan ( Ioniţă ) Scipione,2342
ANDREESCU Ioana,2389
ANDRIESCU Radu,2699
ANDRIŢOIU Alexandru,8507
ANDRONIC Titus,1435
ANDRU Vasile,5960
ANESTIN Victor,3704
ANGELESCU Silviu,3396
CIFARELLI Giuseppe,830
CIMPOI Mihai,9392
CIOBANU Ion C .,1846
CIOBANU Nicolae,3652
CIOBANU Nicu,2609
CIOBANU Ştefan,9339
BĂDILIŢĂ Cristian,3871
BĂILĂ Ion,1136
BĂLAN Ion,2598
BĂLAN Ion Dodu,4408
BĂLĂCEANU Ion,4029
BĂLĂCESCU Costache,2070
BĂLEANU Andrei,3088
BĂLTEANU Lorina,2343
BĂNCILĂ Vasile,8517
AMZULESCU Al . I . Alexandru I . ,4163
ALMOSNINO George,2725
CHIPER Grigore,4448
CHIRIAC Ion,2378
CHIRIAC Vlad,1193
CHIRIACESCU Rodica,1686
CHIRIŢĂ Constantin,3301
ANONIMUL BRÂNCOVENESC,3860
ANTEMIREANU Alexandru,1872
ANTOHI Sorin,4404
CIOCÂRLIE Corina,2258
CIOCÂRLIE Livius,9960
CIACHIR Dan,2963
BENTOIU Annie,1723
BERCEA Livius Petru,3790
BERG Lotte,1308
BERLOGEA Ileana,6851
BERTOLDO Solomon şi Aşmedai,506
DRAGU Victoria,4738
DRĂGUŢA Simion,1307
DRIMBA Lucian,2010
DROGEANU Paul P .,2949
DRUMARU Paul,3650
AVRAMESCU Tiberiu,2148
AZAP Ioan-Pavel,3357
DRUMUR Marian,2301
DUCA I.G . Ion G . ,2890
CORBEA Andrei,5198
CORBEA Dumitru,2965
BELLA György,2548
CONSTANTINESCU Titel,3185
CONSTANTINOVICI Simona,4318
COPILU CHEATRĂ V. Vasile ,6606
BERZA Mihai,2550
BIBESCU Anton,1118
ARGINTARU C. Constantin ,3056
ARION George,3723
ARGHEZI Baruţu T .,3656
DRAGOMIR Mihu,3899
ARUŞTEI Petru,2110
ASLAN Edgar Theodor,1344
ATANASIU D.I .,1379
BELCIUGĂŢEANU Corneliu,2231
BELDICEANU Neculai,2887
BOLDUMA Ion,1115
CUNŢAN Maria,2040
CUSIN Adi,3450
CUŞNARENCU George,7024
CUŢITARU Codrin Liviu,3105
CUŢITARU Virgil,1819
CUJBĂ Sergiu,1217
BLECHER M. Max ,12420
BOBEŞ Tita,105
BODISCO Antoaneta,1229
BRANIŞTE Valeriu,4284
BRĂTULESCU Monica,2679
BRESLAŞU Marcel,5577
BOTEANU Gheorghe,1510
BOTEZ Demostene,9058
BOTEZ-GORDON Gheorghe V .,1421
BREZIANU Dominic,1505
BUCUR Doina,2358
BUCUR Marin,7242
BRAGA Mircea,3952
BRAGA Rodica,4711
BRAIESKU Constantin C .,1767
BODNĂRESCU Samson L .,4334
BODOR Pál,573
BORCIA Ion,2642
BORGOVAN Vasile Gr .,2126
BOITOŞ Olimpiu,3358
CĂLIN Constantin,3820
CĂLIN-BODEA Cornelia,2598
CĂLINESCU G. Gheorghe ,43137
BÁLINT Tibor,789
BALOTĂ Nicolae,17096
BALTAG Nicolae,1110
CÂNDROVEANU Hristu,3969
CÂRCHELAN Iuliu,820
CÂRNECI Radu,5305
CELARIANU Mihail,6656
CERNA Panait,3790
CHINEZU Ion,2769
BARBU Marian,4289
BARBU N. Nicolae ,4869
BARBU Petre,5382
BARDAN Vasile,1687
BARDÓCZ Árpád,315
BASCOVICI Șerban,1505
DINCĂ Dumitru Ion,3192
DINESCU Mircea,19523
ALECSANDRI Ioan ( Iancu ),1135
ALEXANDRU Doina,1462
BATALI Aurelia,808
DIACONU Mircea A .,7878
DIACONU Virgil,5582
DIAMANDY George,4333
DIMITRESCU Christea ( Christu ) N .,6309
DIMITRIU Daniel,4705
ALEXE George,2162
ALEXIANU Al . Alexandru ,3763
AL LUPULUI Nicolae,2961
CERNOV Alexandrina,2521
CHEIE-PANTEA Iosif,1728
CHIFOR Valentin,3685
DERȘIDAN Ioan,3815
CĂRCĂLEANU Eleonora,2925
DEMETRIUS V. Vasile ,3329
BĂNULESCU Ștefan,26137
BĂRBUCEANU Constantin,1958
BĂRBULESCU Titus,3028
BÂRGĂU Valeriu,3041
CIUCHINDEL Constantin,1310
CIURUNGA Andrei,3711
CLASICISM .,14528
CLOPOŢEL Ion,2865
COCHINESCU Ioan Mihai,3397
CONDREA DERER Doina,6861
CONDURACHE Val Valeriu ,2014
CONSTANT Savin,1844
CONSTANTINESCU Clitus,2737
CONSTANTINESCU Mihaela,3066
CONSTANTINESCU Mircea,6264
CODRUŢ Mariana,5413
COJOCARU Romulus,4186
COLIN Vladimir,4997
COMAN Marian,1489
COMNEA Victoria,3139
BÂRNA Nicolae ( 11.X.1950 București ) critic literar traducător editor .,4798
BÂRSEANU Andrei,1934
BÂRSEANUL Ion,1913
BEHRING Eva,2578
BEKE György,2474
DONNA Gabriel,1787
DORIAN Gellu,4721
CIUBOTARU Ion H .,4278
CIUCHI Eugen,2528
DOMAN Dumitru Augustin,4827
DOMINIC A .,2235
DONGOROZI Ion,1727
ANTONESCU Emanuel,2110
DINULESCU Ioana,4412
DOBRESCU Ioan,2082
DOBRIȘAN Nicolae,2678
BLAGA Lucian,28535
BLANDIANA Ana,14625
COSTEA Dimitrie,1768
